date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2006-03-17	1085582	1468755	3241697	3169502	317345	801211
2006-03-18	1091966	1476798	3255753	3180376	318563	805280
2006-03-19	1098210	1482720	3272844	3193373	319660	808183
2006-03-20	1101834	1488092	3285177	3206496	321537	810311
2006-03-21	1103502	1490891	3301235	3216832	322417	813808
2006-03-22	1106586	1495223	3314517	3227474	325618	817413
2006-03-23	1109407	1499078	3319986	3236849	326372	817768
2006-03-24	1114819	1503683	3326999	3245792	327021	821277
2006-03-25	1117488	1510531	3338580	3258630	327874	823976
2006-03-26	1121879	1521621	3357993	3272578	330056	826376
2006-03-27	1133237	1526255	3372287	3286716	331380	832589
2006-03-28	1136569	1531929	3387704	3292080	333479	837152
2006-03-29	1141118	1535951	3398766	3305414	334364	840990
2006-03-30	1143153	1539982	3415329	3315019	336119	843693
2006-03-31	1150738	1544471	3425717	3323063	334935	847851
2006-04-01	1156312	1550637	3437430	3336903	335823	851672
2006-04-02	1164182	1556979	3453706	3354402	339773	857162
2006-04-03	1170892	1564799	3466659	3364903	342349	861627
2006-04-04	1176918	1569450	3478618	3376985	345402	867358
2006-04-05	1181301	1575487	3492733	3389748	347356	869472
2006-04-06	1187930	1578448	3503134	3399630	345110	871092
2006-04-07	1191032	1581814	3518988	3415245	346489	870916
2006-04-08	1190702	1586037	3552096	3429642	347413	874366
2006-04-09	1194737	1596618	3574558	3444942	348766	877599
2006-04-10	1200728	1601678	3596149	3456067	349138	880413
2006-04-11	1206311	1614017	3599316	3466151	350858	884388
2006-04-12	1209492	1619670	3594154	3475834	352454	886513
2006-04-13	1208246	1624411	3601463	3486926	353540	889116
2006-04-14	1212836	1630960	3616138	3500930	354288	891466
2006-04-15	1215522	1636470	3628861	3515012	354601	895263
2006-04-16	1224414	1646489	3653096	3528015	356328	899015
2006-04-17	1232459	1655354	3668792	3549559	359187	902067
2006-04-18	1240256	1661276	3691972	3565824	360788	905413
2006-04-19	1247152	1667232	3708530	3574968	361317	908673
2006-04-20	1248950	1677814	3720370	3594780	362139	907237
2006-04-21	1250643	1683794	3728806	3605519	362592	912007
2006-04-22	1244504	1697714	3744204	3618791	364084	922852
2006-04-23	1252976	1702884	3768343	3633523	365352	927178
2006-04-24	1258330	1711108	3786309	3645746	366516	925639
2006-04-25	1264448	1716271	3800821	3660905	369634	928265
2006-04-26	1269057	1721599	3811443	3666376	368307	934683
2006-04-27	1274102	1725858	3826522	3679897	369192	936752
2006-04-28	1277821	1732229	3836619	3694387	370388	939253
2006-04-29	1283869	1737888	3847275	3707080	370937	944354
2006-04-30	1292958	1748827	3866162	3720735	372294	946849
2006-05-02	1303169	1759247	3897599	3746364	373504	956438
2006-05-03	1311931	1763829	3909620	3758473	375154	959089
2006-05-04	1316009	1770442	3922175	3771398	376555	964432
2006-05-05	1322230	1774477	3932321	3781823	378878	963781
2006-05-06	1328334	1777850	3942975	3794102	380168	965712
2006-05-07	1326299	1783618	3962411	3807184	382010	968848
2006-05-08	1332302	1792613	3989457	3811002	379030	982738
2006-05-09	1340429	1800011	4006109	3837631	380441	985523
2006-05-10	1345260	1807042	4022752	3846587	381740	990434
2006-05-18	1391456	1865400	4155580	3948551	392887	1015923
2006-05-19	1394735	1869061	4171572	3958715	394899	1025082
2006-05-20	1397267	1877835	4184925	3969670	398560	1028351
2006-05-21	1404965	1885999	4205039	3982727	399605	1030414
2006-05-22	1410814	1894105	4229595	4005373	401737	1033501
2006-05-23	1421650	1904773	4245870	4019636	404054	1041537
2006-05-24	1426564	1910521	4262255	4031449	405674	1044990
2006-05-25	1430761	1920182	4273750	4053447	407624	1046871
2006-05-26	1434713	1927867	4281782	4069826	410178	1053916
2006-05-27	1439731	1932106	4294487	4088369	411234	1057210
2006-05-28	1447491	1939951	4311301	4097602	412629	1060785
2006-05-29	1455835	1949665	4326766	4110691	413275	1066985
2006-05-30	1463987	1959712	4353958	4117207	414950	1070440
2006-05-31	1471106	1969024	4377507	4128952	417739	1074405
2006-06-01	1478586	1974138	4400093	4139734	420115	1077507
2006-06-02	1483841	1985380	4420047	4157760	420883	1081264
2006-06-03	1489508	1990309	4431960	4168186	422721	1084471
2006-06-04	1499254	1996851	4446154	4182313	426235	1088220
2006-06-05	1509190	2008391	4474145	4203010	430948	1093938
2006-06-06	1523234	2015247	4492055	4220908	434807	1098671
2006-06-07	1529853	2022456	4502397	4238877	437179	1100969
2006-06-08	1532809	2023278	4519741	4251257	439358	1109159
2006-06-09	1536960	2031666	4533148	4262326	442973	1115145
2006-06-10	1541400	2038997	4550575	4272256	444371	1117785
2006-06-11	1550169	2046446	4569886	4285877	447266	1124280
2006-06-12	1556326	2055651	4604898	4304685	450370	1128393
2006-06-13	1562128	2065228	4623978	4326844	451587	1132913
2006-06-14	1569932	2076164	4642352	4343760	453053	1135828
2006-06-15	1575306	2080622	4657148	4358033	455592	1139879
2006-06-16	1582859	2091154	4667843	4372066	457641	1143868
2006-06-17	1587091	2097952	4685516	4383209	459315	1150134
2006-06-18	1592581	2107287	4705101	4396683	460693	1154811
2006-06-19	1600089	2115975	4734351	4408957	462510	1161598
2006-06-20	1606778	2125186	4758365	4423100	463174	1166086
2006-06-21	1609502	2131309	4776639	4440833	465208	1170393
2006-06-22	1617462	2136564	4793204	4449108	465710	1174245
2006-06-23	1623598	2144149	4807587	4459539	467495	1171604
2006-06-24	1627351	2153156	4823236	4470471	468919	1174072
2006-06-25	1637800	2164195	4842484	4485926	472509	1178409
2006-06-26	1651437	2175879	4869789	4501361	472673	1182940
2006-06-27	1657872	2183749	4889977	4518753	474779	1186859
2006-06-28	1667100	2190376	4906016	4531526	475432	1191190
2006-06-29	1670751	2197426	4923960	4541347	478556	1194927
2006-06-30	1676251	2201710	4939280	4553489	479579	1197523
2006-07-01	1682853	2207363	4960579	4565287	482704	1200102
2006-07-02	1691746	2213772	4978443	4585163	485005	1205866
2006-07-03	1701946	2223561	4997895	4605853	488570	1214971
2006-07-04	1714534	2229903	5022039	4625574	489231	1219372
2006-07-05	1722586	2241107	5045816	4643240	491007	1224690
2006-07-06	1731814	2252266	5067448	4662877	500162	1227027
2006-07-07	1737457	2258745	5086052	4677372	501400	1229797
2006-07-08	1744320	2264242	5096706	4690953	503573	1237188
2006-07-09	1751007	2271748	5117881	4706857	506390	1241034
2006-07-10	1755998	2284890	5140086	4724643	510911	1246301
2006-07-11	1760119	2293099	5165323	4734075	512683	1250917
2006-07-12	1765535	2299257	5192035	4743875	514563	1254892
2006-07-13	1769658	2307380	5214678	4756435	516556	1257384
2006-07-14	1776571	2314315	5236847	4777800	519942	1253076
2006-07-15	1777090	2324665	5254897	4788192	521087	1256451
2006-07-16	1782793	2332492	5272153	4799668	522774	1261839
2006-07-17	1791079	2341807	5297880	4821128	523049	1266959
2006-07-18	1798029	2353725	5318674	4839042	525724	1274271
2006-07-19	1580276	2065816	5318674	4839042	461264	1121594
2006-07-20	1813175	2366257	5349881	4864443	528392	1284094
2006-07-21	1826134	2370591	5372464	4880465	529682	1286832
2006-07-22	1830793	2376128	5391642	4892329	533324	1290531
2006-07-23	1840405	2385765	5411995	4912373	535098	1295382
2006-07-24	1851939	2396805	5440023	4934055	540921	1301733
2006-07-25	1860758	2405187	5461888	4950629	541997	1307348
2006-07-26	1868174	2412895	5475363	4961523	543763	1310676
2006-07-27	1886717	2421046	5497503	4974220	544137	1316155
2006-07-28	1892753	2423587	5522101	4993753	546626	1320622
2006-07-29	1884325	2431115	5538433	5004348	554547	1325599
2006-07-30	1896715	2439383	5561593	5025440	556275	1329621
2006-07-31	1910564	2449851	5586854	5051159	560207	1336282
2006-08-01	1925684	2459339	5613574	5070695	563605	1342181
2006-08-02	1932186	2468633	5286706	5088852	529649	1263893
2006-08-03	1815560	2474580	5306263	4783602	567289	1268000
